Course Number,Course Name,Prerequisites,Description,PLM,AEX,HCO,SI1,SI2,SO1,SO2,QR1,QR2,IIC,GCI,ETR,WIN,OSC,DME,CRT,RIL,TWC,CRI
CAS AA 319,Race and the Politics of Criminal Justice Policy,,"How many people are affected by the criminal justice system? What is the relationship between crime and race? What criminal justice policies, if any, should change? In this course, students will grapple with these questions.",,,,X,,,,,,,,X,,,,X,,,
CAS AA 335,"Sociology of Race, Class & Gender","At least one prior 100- or 200-level Sociology course, or CASWS 101/102.","No one of us is one thing, one identity, nor motivated by one singular interest, nor privileged or subjugated by one singular form of power, but how do those multiple forms of ourselves affect how we are advantaged, disadvantaged, viewed, and understood by the social world? Our social world, is, by default, a vast web of social intersections between and across groups with shared, overlapping, and conflicting identities. Race, class and gender affect nearly all of our lived experiences and greatly complicate and nuance concepts of diversity and difference.",,,X,,,,,,,X,,,,,X,,,,
CAS AA 348,Colonialism in Africa,,Uses case studies of particular African societies or nations to examine patterns of European conquest and African resistance; forms of colonial administration and socioeconomic consequences of colonial rule; decolonization and contemporary African liberation movements; economic and political developments since independence; and contemporary social and cultural change.,,,,,,,,,,,,,,,,,,,
CAS AA 356,Religion in the Digital Age,First-Year Writing Seminar (CAS WR 120 or equivalent),"How has technology impacted religion' This hands-on course explores how digital technologies like the Internet, social media, gaming, and artificial intelligence have changed the way that people think about religion.",,,,,,,,,,,,,X,,X,,,,X
CAS AA 371,Black Freedom Dreams: America and the World,,"Surveys the history of African diaspora peoples in the Americas from their African origins and the rise of the Atlantic slave trade through the age of emancipations, investigating the varied meanings of race, resistance, migration, and freedom. Also offered as CAS HI 298.",,,X,,,,,,,,,,,,X,,,X,
CAS AA 382,History of Religion in Pre-Colonial Africa,,"The study of the development of religious traditions in Africa during the period prior to European colonialism. An emphasis on both indigenous religions and the growth and spread of Judaism, Christianity, and Islam in the continent as a whole. Also offered as CAS HI 349 and CAS RN 382.",,,X,,,,,,,,X,,,,,,,,
CAS AA 383,African Diaspora Religions,,"This course introduces students to religions of the African Diaspora, with a specific focus on the Caribbean and the Americas. Religious traditions such as Africanized Christianity, Cuban Santería, Haitian Vodou, Brazilian Candomblé, and African American Spiritualism will be explored.",,,X,,,,,,,X,,,,,,,X,,
CAS AA 385,Atlantic History,,"Examines the various interactions that shaped the Atlantic World, connecting Europe, Africa, and the Americas between 1400 and 1820. Begins by defining the political interaction, then emphasizes cultural exchange, religious conversion, and the revolutionary era.",,,,,,,,,,,,,,,,,,,
CAS AA 388,Transnational Black Radicalism from the 19th Century to the Present,,"Explores black cultural and political movements and examines how they interacted in ways that establish ideas crucial to our contemporary moment through readings in literature and history, film and popular culture productions.",,,X,,,,,,,,X,,,,,X,,,
CAS AA 396,Atlantic Africa and the Slave Trade,,"Examines--both by region and across the larger Atlantic area--the ways that overseas commerce, in particular the slave trade, interacted with and was shaped by African politics and economic variables. Also offered as CAS HI 353.",,,,,,,,,,,,,,,,,,,
CAS AA 400,Topics in African American Studies,,"Topics and pre-requisites vary. May be repeated for credit as topics vary. Topic for Spring 2025: Race, Gender, and Performance. How are race and gender performed and what do they do' This seminar introduces students to the role of performance in the construction of social identity and social change. Students study and experiment with various sites of performance while engaging with theories, debates, and concepts, such as performativity, embodiment, and archives/repertoires.",,,,,,,,,,,,,,,,,,,
CAS AA 404,Seminar on Sociology of Families,junior or senior standing and at least two previous Sociology courses; or consent of instructor. First-Year Writing Seminar (WR 120 or equi valent),"Explores the rise of ""modern"" families and the plurality of contemporary family forms and processes in global contexts. Particular attention to intersections of race, class, and gender inequalities and their implications for family life.",,,,,,,,,,,X,,X,,,,X,,
CAS AA 408,"Seminar: Ethnic, Race, and Minority Relations",(CASAA207 OR CASSO207) or consent of instructor.,"Formation and position of ethnic minorities in the United States, including cross-group comparisons from England, Africa, and other parts of the world. Readings and field experience.",,,,,,,,,,,,,,,,,,,
CAS AA 416,"Religion, Race, and Climate Change",,"A multi-disciplinary course delving into the influence of religion and race on human behavior and non-human, planetary realities at local and global scales. It focuses on the historical, systemic, and societal implications associated with ongoing climate change debates. Effective Fall 2024 fulfills a single unit in each of the following BU Hub areas: Global Citizenship and Intercultural Literacy, Social Inquiry I.",,,,X,,,,,,,X,,,,,,,,
CAS AA 430,Black American Cinema,,"A survey of important genres and movements in the history of Black American cinema, with possible focus on race films, civil rights dramas, horror and Blaxploitation films, postcolonial cinema, the LA Rebellion school, Black independent film, afrofuturism, and/or more.",,X,,,,,,,,X,,,,,,,,,
CAS AA 477,Critical Studies: Black Diaspora Theory and Practice,,"Explore ""diaspora"" as a keyword for black studies, intervene in the term's emergence, usage, and many theorizations. Beginning with Paul Gilroy's take on diasporic culture and consciousness, course goes on to complicate/extend/challenge through lens of black gender and sexuality studies.",,X,,,,,,,,X,,,,,,X,,,
CAS AA 488,Critical Studies in African American Literature,graduate standing.,Topic for Fall 2024; Gender and Sexuality in the Neo-slave Narrative. Examines how neo-slave narratives intervene in the sexual and gendered silences of slave narratives and the power relations that produced them. Students who are hesitant to study depictions of sexual violence might consider taking another course.,,,,,,,,,,,,,,,,,,,
CAS AA 489,The African Diaspora in the Americas,consent of instructor.,"History of peoples of African descent in the Americas after end of slavery from an international framework. Examines development of racial categories, emergence of national identities in wake of the wars of independence, diverse Black communities in the twentieth century. Also offered as CAS HI 489.",,,,,,,,,,,,,,,,,,,
CAS AA 490,Blacks and Asians: Encounters Through Time and Space,,"This course comparatively explores how artists, writers, and activists of African descent and those of Asian descent have struggled against the political-economic, spiritual, psychological and cultural aggressions of global white supremacy and imagined and invented new modes of human liberation. Also offered as CAS HI 490.",,,,,,,,,,,,,,,,,,,
CAS AH 111,Pyramids to Cathedrals: An Introduction to Ancient and Medieval Art,,"A chronological examination of the fundamentals of art and architectural history, this course introduces students to major monuments and works of art from antiquity to the middle ages in their social, religious and historical contexts.",,X,X,,,,,,,,,,,,,,,,X
CAS AH 112,Introduction to Art in Europe and the United States from the Renaissance to Post- Modernism,,"Major monuments and artists in Europe and the United States from the Renaissance to Post-Modernism. Sequential development of major styles in architecture, sculpture, painting, and photography. Relationship of visual art to social and cultural forces.",,X,X,,,,,,,,,,,,,,,X,
CAS AH 113,Arts and Monuments of Asia,,"An introduction to the art and architecture of Asia from the earliest times to the present. Course addresses not only important cultural monuments but also portable art objects within museum collections. Course examines a wide range of media, including ink painting, ceramics, textiles, photography, as well as major architectural projects, monuments, and built environments. It aims to challenge and rethink monolithic definitions of ""Asian art"" by allowing students to understand the complex and sophisticated processes of interregional and global cultural exchange.",,X,,,,,,,,,,,,X,,,,,
CAS AH 114,"Kongo to Cuba: Art, Exchange, and Self-Determination in Africa and Latin America",,This course introduces the arts of Africa and Latin America. It explores the rich diversity of each continent's artistic production and highlights the impact of their intertwining histories on visual expression in the wake of transcontinental exchange and globalization.,,X,,,,,,,,,X,,,,,X,,,
CAS AH 201,Understanding Architecture,,"Introduces a range of approaches to understanding architecture in an historical perspective. Learn how architects and others have imagined buildings, landscapes, and cities in relation to politics, society, nature, history, and technology, focused upon European and American architecture from 1400 to the present.",,X,X,,,,,,,,,,,,,,X,,
CAS AH 210,Learning to See,,"Strengthens your ability to describe and analyze the visual world. From fundamentals such as color and composition to the design of advertisements, propaganda, and appliances. A lab component provides opportunities for direct engagement with objects, images, and the built environment.",,X,X,,,,,,,,,,,,,X,,,
CAS AH 215,Arts of Africa and Its Diaspora,,"Exploration of a diversity of visual and performing arts from Africa, including royal regalia, masquerades, and contemporary painting. Examines how the dispersal of Africans, due to the transatlantic slave trade and immigration, contributed to the cultural richness of the Americas. Carries humanities divisional credit in CAS.",,X,,,,,,,,,X,,,,,X,,,
CAS AH 220,Islamic Art and Architecture,,"Examines key monuments of Islamic art and architecture within their historical and cultural context, and emphasizes the diversity within the visual cultures of the Islamic world. Carries humanities divisional credit in CAS.",,X,,,,,,,,,X,,,,,,X,,
CAS AH 225,The Arts of Asia,,"Surveys of the major artistic traditions of Asia. Important monuments are examined analytically in order to explain why certain forms and styles are characteristic of specific times and places, and how these monuments functioned in their cultural contexts.",,X,X,,,,,,,,,,,,,,X,,
CAS AH 240,Medieval Art in Europe,,"This course covers roughly one thousand years of art and architecture in Europe, Western Asia, and the Mediterranean from the Late Roman Era to the Renaissance. A broad range of media from stained glass to sculpture, gem encrusted metalwork, mosaics, ivories, manuscript illumination, lavish textiles, and other types of visual culture are examined.",,X,X,,,,,,,,,,,,,,,,
CAS AH 251,Ancient Maya Civilization,,"An exploration of the Maya civilization of Mexico and Central America, including its origins, intellectual achievements, city-state rise and collapse cycles, and the cultural endurance of the Maya people of today. This course carries humanities divisional credit in CAS.",,,X,X,,,,,,,,,,,,,,,
CAS AH 257,Renaissance Art,,Survey of the arts in the Renaissance in Italy from the communes of the early fifteenth century to the courts of the sixteenth century.,,X,X,,,,,,,,,,,,,X,,,
CAS AH 284,Arts in America,,"A survey of art and visual culture made in North America between the early colonial period and World War I, exploring the ways that painters, sculptors, photographers, and graphic artists navigated major aesthetic debates, political conflicts, and economic crises. Carries humanities divisional credit in CAS.",,X,X,,,,,,,,,,,,,,,X,
CAS AH 311,"Arab Cities: Architecture, Politics, Religion",,"This course presents a historical overview of Arab cities through architecture, politics, and religion. It considers modern Arab Ottoman cities, colonial cities, Palestinian cities. It also looks at refugee camps, Gulf cities, development, informality, de-development, destruction, and post-war reconstructions.",,,,,,,,,,,,,,,,,,,
CAS AH 316,African Diaspora Arts in the Americas,,"This course introduces arts of the African diaspora in the Caribbean, South America, and the United States by examining aesthetic, religious, and philosophical systems. Examines artistic forms including Santería altars, Haitian architecture, Caribbean masquerading, and contemporary African-American artists.",,,,,,,,,,,,,,,,,,,
CAS AH 323,Topics in Latin American Art,,"Study of a region, theme, or period in Latin America art and architecture. May be repeated for credit as topics change. Topic for Spring 2023: Artivism Since the 1960s. Examines art and aesthetics in political activism, focusing on artists, activists, and curators' contributions to the struggles against dictatorships during dirty wars, ongoing racial and gender discrimination, as well as environmental over-exploitation",,,,,,,,,,,,,,,,,,,
CAS AH 325,"Art, Media, and Buddhism",,"Examines how textual, visual, and material forms of religious expression have been conceptualized by Buddhists as well as how Buddhist objects are understood and re-contextualized in the West. Topics include: self- immolation; museums; war propaganda, and pop culture.",,X,X,,,,,,,,,,,,,,,X,
CAS AH 326,Arts of Japan,,"The arts of Japan, from prehistory to the twentieth century. Lectures intend to cover a broad range of media (painting, sculpture, ceramics, prints) and building types (temples, palaces, castles, teahouses). Special attention is paid to major projects integrating multiple forms.",,X,X,,,,,,,,,,,,,,X,,
CAS AH 327,Arts of China,,"Explores major works of Chinese art, from bronze vessels, Buddhist caves, ink painting, to contemporary performance. Addresses topics such as constructions of monumentality, cultural exchange, displays of power, literati identity, feminine space, and quests for modernization.",,X,,,,,,,,,X,,,,,,X,,
CAS AH 331,Early Greek Art and Architecture,CASLF 350.,May be taken twice for credit if topics are different. Topic TBA.,,X,X,,,,,,,,,,X,,,,,,
CAS AH 333,Arts of Classical Greece,,"Examines architecture, sculpture, painting, and metalwork of the fifth and fourth centuries B.C. in their original contexts. Addresses such larger issues as development of portraiture; tension of ""real"" and ""ideal""; roles and shifting iconographies of myth; and political use of monuments.",,X,X,,,,,,,,,X,,,,,,,
